1967, 1, 11, 3
1967, 1, 12, 3
1967, 1, 5, 4
1967, 1, 13, 2
1967, 1, 9, 3
1967, 1, 4, 4
1967, 1, 21, 3
1967, 1, 17, 10
1967, 1, 2, 3
1967, 1, 24, 6
1967, 1, 18, 8
1967, 1, 26, 1
1967, 1, 30, 2
1967, 1, 22, 1
1967, 3, 13, 6
1967, 1, 25, 1
1967, 2, 1, 1
1967, 1, 20, 6
1967, 2, 17, 3
1967, 4, 28, 1
1967, 3, 1, 5
1967, 1, 3, 4
1967, 3, 16, 0
1967, 2, 24, 2
1967, 2, 26, 0
1967, 3, 12, 2
1967, 3, 8, 0
1967, 3, 17, 2
1967, 1, 1, 2
1967, 3, 10, 2
1967, 3, 26, 1
1967, 3, 18, 2
1967, 3, 23, 3
1967, 3, 29, 0
1967, 3, 27, 2
1967, 3, 31, 0
1967, 3, 25, 3
1967, 4, 7, 1
1967, 4, 4, 0
1967, 4, 5, 3
1967, 3, 30, 1
1967, 3, 28, 1
1967, 1, 23, 1
1967, 3, 15, 0
1967, 1, 28, 6
1967, 4, 12, 3
1967, 4, 1, 3
1967, 4, 2, 3
1967, 4, 6, 2
1967, 1, 31, 1
1967, 4, 8, 0
1967, 2, 5, 0
1967, 4, 3, 3
1967, 4, 11, 0
1967, 4, 16, 0
1967, 4, 9, 1
1967, 4, 20, 2
1967, 4, 21, 3
1967, 4, 10, 5
1967, 4, 22, 0
1967, 4, 26, 1
1967, 4, 15, 1
1967, 4, 25, 0
1967, 1, 14, 3
1967, 5, 3, 3
1967, 1, 15, 2
1967, 4, 17, 0
1967, 5, 17, 1
1967, 5, 11, 2
1967, 5, 5, 2
1967, 4, 27, 1
1967, 5, 7, 1
1967, 1, 16, 4
1967, 4, 18, 2
1967, 4, 23, 1
1967, 3, 6, 0
1967, 5, 12, 1
1967, 5, 21, 2
1967, 1, 7, 2
1967, 2, 25, 2
1967, 2, 15, 1
1967, 1, 6, 7
1967, 5, 16, 1
1967, 2, 20, 1
